stationcode,timepoint,longitude,latitude,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant,positionname,area
1588A,2024-11-06T1300,109.8538,40.6821,38,57,1.0,44,36,—,11,—,—,青山宾馆,包头市
1589A,2024-11-06T1300,109.8642,40.6288,19,51,0.9,39,17,45,19,51,颗粒物(PM10),惠龙物流,包头市
1590A,2024-11-06T1300,110.0377,40.5546,18,41,0.7,33,16,43,20,41,—,东河鸿龙湾,包头市
3283A,2024-11-06T1300,109.9154,40.5685,19,41,0.6,32,17,53,29,41,—,滨河大厦,包头市
3419A,2024-11-06T1300,109.9447,40.6261,31,58,1.2,39,41,45,20,54,颗粒物(PM10),包头市委党校,包头市
3683A,2024-11-06T1300,109.8331,40.6576,35,57,0.7,38,23,44,17,54,颗粒物(PM10),昆区政府,包头市
1930A,2024-11-06T1300,107.185,34.3063,57,168,0.7,16,8,40,24,109,颗粒物(PM10),庙沟村,宝鸡市
1931A,2024-11-06T1300,107.0708,34.3017,96,108,0.7,19,10,62,21,127,细颗粒物(PM2.5),竹园沟,宝鸡市
1932A,2024-11-06T1300,107.1906,34.3672,103,120,0.8,26,8,56,16,135,细颗粒物(PM2.5),三陆医院,宝鸡市
1933A,2024-11-06T1300,107.1431,34.3547,102,118,0.8,31,11,44,14,134,细颗粒物(PM2.5),监测站,宝鸡市
1934A,2024-11-06T1300,107.1186,34.3739,99,111,0.9,30,12,64,20,130,细颗粒物(PM2.5),技工学校,宝鸡市
1935A,2024-11-06T1300,107.3906,34.3528,92,116,—,23,16,89,25,122,细颗粒物(PM2.5),陈仓区环保局家属楼,宝鸡市
1936A,2024-11-06T1300,107.2058,34.3497,90,106,0.6,29,11,50,13,119,细颗粒物(PM2.5),文理学院,宝鸡市
1937A,2024-11-06T1300,107.2386,34.3622,112,122,0.9,44,11,54,16,147,细颗粒物(PM2.5),三迪小学,宝鸡市
1051A,2024-11-06T1300,115.493,38.8632,60,87,1.0,52,9,42,20,82,细颗粒物(PM2.5),游泳馆,保定市
1052A,2024-11-06T1300,115.5213,38.8959,42,80,0.7,54,10,32,11,65,颗粒物(PM10),华电二区,保定市
1053A,2024-11-06T1300,115.4713,38.9108,46,65,0.6,45,9,36,14,64,细颗粒物(PM2.5),接待中心,保定市
1054A,2024-11-06T1300,115.4612,38.8416,59,79,0.6,58,12,37,16,80,细颗粒物(PM2.5),地表水厂,保定市
3581A,2024-11-06T1300,115.31981,38.95208,36,73,0.6,50,9,43,18,62,颗粒物(PM10),满城区生态环境分局,保定市
3582A,2024-11-06T1300,115.47694,38.76408,54,80,0.8,40,12,55,18,74,细颗粒物(PM2.5),清苑区第二中学,保定市
3583A,2024-11-06T1300,115.62909,39.02311,—,87,1.1,47,10,41,13,—,—,徐水物探局,保定市
4004A,2024-11-06T1300,115.4202,38.8656,28,86,—,—,10,33,18,—,—,双鹰农机,保定市
4034A,2024-11-06T1300,115.5150,38.8590,33,68,0.5,47,6,39,15,59,颗粒物(PM10),植保所站,保定市
2594A,2024-11-06T1300,99.1678,25.1081,6,24,0.5,11,4,68,22,24,—,市环境监测站,保山市
2595A,2024-11-06T1300,99.1711,25.1328,14,23,0.4,8,5,69,28,23,—,市环保局,保山市
1866A,2024-11-06T1300,109.2262,21.588,43,—,0.7,—,6,109,80,—,—,牛尾岭水库,北海市
1867A,2024-11-06T1300,109.1436,21.4086,37,52,0.8,8,9,128,109,53,细颗粒物(PM2.5),海滩公园,北海市
1868A,2024-11-06T1300,109.0981,21.4661,44,57,0.8,10,8,138,101,62,细颗粒物(PM2.5),新市环保局,北海市
1869A,2024-11-06T1300,109.1778,21.5233,39,67,0.6,9,9,128,98,59,颗粒物(PM10),北海工业园,北海市
