stationcode,timepoint,longitude,latitude,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant,positionname,area
2271A,2024-11-06T1200,117.3605,32.9427,29,60,0.4,21,9,73,33,55,颗粒物(PM10),百货大楼,蚌埠市
2273A,2024-11-06T1200,117.4185,32.8911,23,44,0.3,15,9,84,35,44,—,蚌埠学院,蚌埠市
2274A,2024-11-06T1200,117.3533,32.9673,32,61,0.4,23,12,—,25,—,—,淮上区政府,蚌埠市
2275A,2024-11-06T1200,117.3145,32.8977,30,51,0.3,18,8,81,35,51,颗粒物(PM10),高新区,蚌埠市
3715A,2024-11-06T1200,117.3092,32.9314,29,60,0.4,16,7,81,38,55,颗粒物(PM10),蚌埠田家炳中学,蚌埠市
1585A,2024-11-06T1200,109.8756,40.6532,33,64,1.1,44,46,35,14,57,颗粒物(PM10),市环境监测站,包头市
1587A,2024-11-06T1200,109.9991,40.5842,30,65,0.9,39,40,36,14,58,颗粒物(PM10),包头八中,包头市
1588A,2024-11-06T1200,109.8538,40.6821,45,70,1.4,51,55,28,10,63,细颗粒物(PM2.5),青山宾馆,包头市
1589A,2024-11-06T1200,109.8642,40.6288,23,57,0.7,37,26,44,14,54,颗粒物(PM10),惠龙物流,包头市
1590A,2024-11-06T1200,110.0377,40.5546,14,42,0.6,31,17,38,16,42,—,东河鸿龙湾,包头市
3283A,2024-11-06T1200,109.9154,40.5685,19,39,0.6,31,17,50,22,39,—,滨河大厦,包头市
3419A,2024-11-06T1200,109.9447,40.6261,32,71,1.4,44,64,35,15,61,颗粒物(PM10),包头市委党校,包头市
3683A,2024-11-06T1200,109.8331,40.6576,40,71,1.0,43,38,34,12,61,颗粒物(PM10),昆区政府,包头市
1930A,2024-11-06T1200,107.185,34.3063,56,108,0.7,21,8,22,24,79,颗粒物(PM10),庙沟村,宝鸡市
1931A,2024-11-06T1200,107.0708,34.3017,91,98,0.8,20,18,35,15,120,细颗粒物(PM2.5),竹园沟,宝鸡市
1932A,2024-11-06T1200,107.1906,34.3672,105,124,0.9,38,12,29,10,138,细颗粒物(PM2.5),三陆医院,宝鸡市
1933A,2024-11-06T1200,107.1431,34.3547,98,108,0.9,39,17,26,10,129,细颗粒物(PM2.5),监测站,宝鸡市
1934A,2024-11-06T1200,107.1186,34.3739,91,95,1.0,36,29,33,16,120,细颗粒物(PM2.5),技工学校,宝鸡市
1935A,2024-11-06T1200,107.3906,34.3528,95,109,0.8,28,—,52,12,125,细颗粒物(PM2.5),陈仓区环保局家属楼,宝鸡市
1936A,2024-11-06T1200,107.2058,34.3497,92,99,0.7,40,13,18,8,122,细颗粒物(PM2.5),文理学院,宝鸡市
1937A,2024-11-06T1200,107.2386,34.3622,104,121,1.0,50,12,31,10,137,细颗粒物(PM2.5),三迪小学,宝鸡市
1051A,2024-11-06T1200,115.493,38.8632,59,88,1.0,52,7,32,15,80,细颗粒物(PM2.5),游泳馆,保定市
1052A,2024-11-06T1200,115.5213,38.8959,37,61,0.6,54,6,22,7,56,颗粒物(PM10),华电二区,保定市
1053A,2024-11-06T1200,115.4713,38.9108,40,75,0.4,41,7,24,10,63,颗粒物(PM10),接待中心,保定市
1054A,2024-11-06T1200,115.4612,38.8416,62,104,0.5,55,9,31,11,84,细颗粒物(PM2.5),地表水厂,保定市
3581A,2024-11-06T1200,115.31981,38.95208,19,63,0.4,41,7,39,13,57,颗粒物(PM10),满城区生态环境分局,保定市
3582A,2024-11-06T1200,115.47694,38.76408,47,104,0.7,48,8,36,11,77,颗粒物(PM10),清苑区第二中学,保定市
3583A,2024-11-06T1200,115.62909,39.02311,—,—,1.0,51,8,23,8,—,—,徐水物探局,保定市
4004A,2024-11-06T1200,115.4202,38.8656,26,54,0.6,49,8,36,15,52,颗粒物(PM10),双鹰农机,保定市
4034A,2024-11-06T1200,115.5150,38.8590,35,73,0.6,52,6,26,10,62,颗粒物(PM10),植保所站,保定市
2594A,2024-11-06T1200,99.1678,25.1081,14,29,0.6,14,5,43,20,29,—,市环境监测站,保山市
2595A,2024-11-06T1200,99.1711,25.1328,15,33,0.5,9,5,57,28,33,—,市环保局,保山市
1866A,2024-11-06T1200,109.2262,21.588,136,—,0.8,—,6,105,75,180,细颗粒物(PM2.5),牛尾岭水库,北海市
1867A,2024-11-06T1200,109.1436,21.4086,37,54,0.8,10,10,123,109,53,细颗粒物(PM2.5),海滩公园,北海市
1868A,2024-11-06T1200,109.0981,21.4661,48,62,0.8,12,8,127,98,67,细颗粒物(PM2.5),新市环保局,北海市
1869A,2024-11-06T1200,109.1778,21.5233,44,75,0.6,10,9,123,93,63,颗粒物(PM10),北海工业园,北海市
3400A,2024-11-06T1200,109.1911,21.4415,42,53,0.7,8,9,125,91,59,细颗粒物(PM2.5),龙潭自来水厂,北海市
1001A,2024-11-06T1200,116.3621,39.8784,41,82,1.0,51,9,22,6,66,颗粒物(PM10),万寿西宫,北京市
1002A,2024-11-06T1200,116.2202,40.2915,23,38,0.5,27,6,22,17,38,—,定陵,北京市
1003A,2024-11-06T1200,116.4174,39.9289,39,83,0.9,47,12,23,8,67,颗粒物(PM10),东四,北京市
1004A,2024-11-06T1200,116.4072,39.8863,47,82,0.9,60,6,16,5,66,颗粒物(PM10),天坛,北京市
1005A,2024-11-06T1200,116.462,39.9365,41,84,0.9,51,8,18,6,67,颗粒物(PM10),农展馆,北京市
1006A,2024-11-06T1200,116.3392,39.9295,36,73,0.9,47,12,19,6,62,颗粒物(PM10),官园,北京市
1007A,2024-11-06T1200,116.2878,39.9611,33,74,0.7,37,7,26,12,62,颗粒物(PM10),海淀万柳,北京市
1008A,2024-11-06T1200,116.6636,40.135,26,58,0.6,26,6,39,15,54,颗粒物(PM10),顺义新城,北京市
1009A,2024-11-06T1200,116.6275,40.3275,20,39,0.3,26,8,43,35,39,—,怀柔镇,北京市
1010A,2024-11-06T1200,116.2296,40.217,22,53,0.5,26,10,36,17,52,颗粒物(PM10),昌平镇,北京市
1011A,2024-11-06T1200,116.3966,39.9821,39,88,1.1,56,7,15,7,69,颗粒物(PM10),奥体中心,北京市
1012A,2024-11-06T1200,116.184,39.9136,23,59,0.8,30,6,33,15,55,颗粒物(PM10),古城,北京市
3281A,2024-11-06T1200,115.9718,40.4529,20,37,0.2,23,1,35,15,37,—,延庆夏都,北京市
3417A,2024-11-06T1200,117.0709,40.1465,18,38,0.6,19,5,44,22,38,—,平谷新城,北京市
3418A,2024-11-06T1200,116.8336,40.4095,21,47,0.5,20,5,46,21,47,—,密云新城,北京市
3671A,2024-11-06T1200,116.088,39.9726,11,43,0.3,34,7,37,29,43,—,门头沟三家店,北京市
3672A,2024-11-06T1200,116.1541,39.8204,25,56,0.4,40,4,25,13,53,颗粒物(PM10),丰台云岗,北京市
3673A,2024-11-06T1200,116.6804,39.9081,38,82,0.9,36,8,31,10,66,颗粒物(PM10),通州东关,北京市
3674A,2024-11-06T1200,115.9577,39.7603,16,41,0.3,25,3,38,24,41,—,房山燕山,北京市
3675A,2024-11-06T1200,116.4672,39.7733,46,85,0.7,44,3,26,8,68,颗粒物(PM10),大兴旧宫,北京市
3694A,2024-11-06T1200,115.986,40.4563,16,31,0.3,25,3,37,12,31,—,延庆石河营,北京市
3695A,2024-11-06T1200,116.6151,40.3053,22,39,0.4,23,5,37,36,39,—,怀柔新城,北京市
3696A,2024-11-06T1200,116.2545,39.8768,35,81,0.8,52,6,20,6,66,颗粒物(PM10),丰台小屯,北京市
3697A,2024-11-06T1200,116.84,40.3844,16,38,0.4,18,3,39,11,38,—,密云镇,北京市
1761A,2024-11-06T1200,123.8275,41.3064,12,16,0.5,10,10,57,24,18,—,大峪,本溪市
1762A,2024-11-06T1200,123.7567,41.3325,3,18,0.4,6,9,64,27,20,—,溪湖,本溪市
1763A,2024-11-06T1200,123.7169,41.3094,9,13,0.5,10,7,59,26,19,—,彩屯,本溪市
1764A,2024-11-06T1200,123.7669,41.2864,7,—,0.5,14,9,59,25,—,—,东明,本溪市
1765A,2024-11-06T1200,123.7992,41.2664,12,58,0.6,11,6,58,30,54,颗粒物(PM10),新立屯,本溪市
1766A,2024-11-06T1200,123.8142,41.3472,8,48,0.7,11,9,56,21,48,—,威宁,本溪市
2587A,2024-11-06T1200,105.2864,27.3125,34,46,0.7,18,12,—,50,—,—,八中,毕节市
2588A,2024-11-06T1200,105.31,27.2944,34,38,0.6,16,17,55,49,49,—,师专,毕节市
3537A,2024-11-06T1200,105.3631,27.3533,38,45,0.7,14,14,66,55,54,细颗粒物(PM2.5),长征村,毕节市
1629A,2024-11-06T1200,118.0018,37.3617,19,41,0.4,22,13,66,20,41,—,第二水厂,滨州市
1630A,2024-11-06T1200,117.9776,37.393,17,46,0.5,27,9,65,21,46,—,北中新校,滨州市
3514A,2024-11-06T1200,117.9378,37.3956,29,48,0.5,25,11,74,31,48,—,中海酒店,滨州市
3515A,2024-11-06T1200,117.9378,37.3553,22,51,0.4,24,12,73,33,51,颗粒物(PM10),开发区一中,滨州市
3516A,2024-11-06T1200,118.0917,37.694,19,41,0.5,20,6,70,22,41,—,金海六路,滨州市
4028A,2024-11-06T1200,117.9956,37.3753,—,—,0.5,—,10,72,24,—,—,滨州市西街道办事处,滨州市
2311A,2024-11-06T1200,115.8072,33.8399,40,70,—,19,10,87,31,—,—,污水处理厂,亳州市
2312A,2024-11-06T1200,115.7789,33.8518,41,83,0.5,17,7,86,40,67,颗粒物(PM10),三国揽胜宫,亳州市
3332A,2024-11-06T1200,115.7633,33.8034,35,75,0.5,21,7,89,45,63,颗粒物(PM10),亳州学院,亳州市
2693A,2024-11-06T1200,82.0485,44.8556,21,41,0.4,18,8,24,18,41,—,市党校,博尔塔拉蒙古自治州
2694A,2024-11-06T1200,82.0806,44.8969,20,50,0.5,22,1,27,25,50,—,市环保局,博尔塔拉蒙古自治州
1071A,2024-11-06T1200,116.8842,38.2991,31,63,0.6,55,13,55,18,57,颗粒物(PM10),沧县城建局,沧州市
1072A,2024-11-06T1200,116.8584,38.3254,34,63,0.4,24,—,—,6,—,—,电视转播站,沧州市
3324A,2024-11-06T1200,116.8136,38.3004,30,68,0.3,19,15,64,22,59,颗粒物(PM10),河北水利电力学院,沧州市
2622A,2024-11-06T1200,97.1806,31.1273,6,—,0.6,8,8,59,47,19,—,昌都监测站,昌都市
3719A,2024-11-06T1200,97.1714,31.1406,3,12,0.5,7,7,64,50,20,—,昌都会议中心,昌都市
2690A,2024-11-06T1200,88.1236,43.8886,7,15,0.5,7,9,79,62,25,—,天山天池,昌吉回族自治州
2692A,2024-11-06T1200,87.2717,44.0297,35,85,1.1,45,12,43,26,68,颗粒物(PM10),新区政务中心,昌吉回族自治州
3613A,2024-11-06T1200,87.3095,44.0142,51,100,1.5,50,10,40,23,75,颗粒物(PM10),亚心广场,昌吉回族自治州
1119A,2024-11-06T1200,125.3325,43.9166,—,—,—,—,—,—,16,—,—,食品厂,长春市
1120A,2024-11-06T1200,125.2863,43.9027,8,27,—,14,9,50,24,—,—,客车厂,长春市
1121A,2024-11-06T1200,125.2841,43.8463,9,51,0.2,12,29,53,21,51,颗粒物(PM10),邮电学院,长春市
1122A,2024-11-06T1200,125.3716,43.8772,10,32,0.4,8,9,60,27,32,—,劳动公园,长春市
1123A,2024-11-06T1200,125.3297,43.8805,12,27,0.2,7,8,54,25,27,—,园林处,长春市
1124A,2024-11-06T1200,125.4605,43.79,9,16,0.2,4,7,55,24,18,—,净月潭,长春市
1125A,2024-11-06T1200,125.7194,43.515,10,21,0.7,8,6,42,19,21,—,甩湾子,长春市
1126A,2024-11-06T1200,125.3863,43.8447,10,23,0.3,12,10,52,22,23,—,经开区环卫处,长春市
1127A,2024-11-06T1200,125.245,43.7783,3,17,0.4,7,6,55,25,18,—,高新区管委会,长春市
1128A,2024-11-06T1200,125.1761,43.8325,8,21,0.3,6,6,48,20,21,—,岱山公园,长春市
1335A,2024-11-06T1200,113.0833,28.2325,34,71,0.5,16,2,115,53,61,颗粒物(PM10),经开区环保局,长沙市
1336A,2024-11-06T1200,112.8872,28.2189,69,106,0.6,18,7,108,58,93,细颗粒物(PM2.5),高开区环保局,长沙市
1337A,2024-11-06T1200,113.0792,28.2053,44,68,0.6,14,5,123,52,62,细颗粒物(PM2.5),马坡岭,长沙市
1338A,2024-11-06T1200,112.9394,28.19,59,102,0.7,20,5,124,72,80,细颗粒物(PM2.5),湖南师范大学,长沙市
1339A,2024-11-06T1200,113.0178,28.1322,54,90,0.6,25,6,110,56,74,细颗粒物(PM2.5),雨花区环保局,长沙市
1340A,2024-11-06T1200,112.9792,28.2597,76,128,0.8,30,5,88,47,102,细颗粒物(PM2.5),伍家岭,长沙市
1341A,2024-11-06T1200,113.0014,28.1944,53,90,0.7,21,7,110,60,73,细颗粒物(PM2.5),火车新站,长沙市
1342A,2024-11-06T1200,112.9844,28.1178,55,82,0.5,24,6,112,54,75,细颗粒物(PM2.5),天心区环保局,长沙市
1343A,2024-11-06T1200,112.8908,28.1308,53,105,0.8,18,10,128,68,78,颗粒物(PM10),湖南中医药大学,长沙市
1344A,2024-11-06T1200,112.9581,28.3611,48,79,0.5,15,10,96,53,67,细颗粒物(PM2.5),沙坪,长沙市
1727A,2024-11-06T1200,113.1147,36.1547,48,90,0.7,38,17,67,24,70,颗粒物(PM10),清华站,长治市
1728A,2024-11-06T1200,113.1031,36.1989,—,66,0.8,37,19,62,22,—,—,监测站,长治市
1730A,2024-11-06T1200,113.0886,36.2125,51,108,0.8,33,11,60,26,79,颗粒物(PM10),审计局,长治市
1731A,2024-11-06T1200,113.0844,36.1856,33,102,0.7,38,16,64,17,76,颗粒物(PM10),长治八中,长治市
2845A,2024-11-06T1200,113.1569,36.1911,46,88,0.9,47,10,62,72,69,颗粒物(PM10),德盛苑,长治市
3568A,2024-11-06T1200,113.06,36.0464,36,55,0.4,24,13,98,69,53,颗粒物(PM10),向阳小学,长治市
3569A,2024-11-06T1200,112.8792,36.3144,44,66,1.4,25,10,77,29,62,细颗粒物(PM2.5),屯留一中,长治市
3570A,2024-11-06T1200,113.235,36.3489,64,103,1.9,41,13,81,29,87,细颗粒物(PM2.5),潞城四中,长治市
1854A,2024-11-06T1200,111.6975,28.9703,82,118,0.8,26,11,104,40,109,细颗粒物(PM2.5),市二中,常德市
3138A,2024-11-06T1200,111.7153,29.0289,68,—,0.9,25,11,106,66,—,—,武陵区永安,常德市
3139A,2024-11-06T1200,111.6892,28.9881,77,132,0.9,26,12,109,37,103,细颗粒物(PM2.5),鼎城区玉霞,常德市
3140A,2024-11-06T1200,111.6625,29.0531,76,131,0.7,26,10,101,56,102,细颗粒物(PM2.5),武陵区长庚,常德市
1196A,2024-11-06T1200,119.9633,31.762,16,35,0.4,23,9,86,58,35,—,市监测站,常州市
1200A,2024-11-06T1200,119.9468,31.7069,16,33,0.5,15,14,80,58,33,—,武进监测站,常州市
1201A,2024-11-06T1200,119.9255,31.9087,23,34,0.3,14,9,91,45,34,—,安家,常州市
3002A,2024-11-06T1200,119.9805,31.8174,15,30,0.5,12,2,90,54,30,—,行政中心,常州市
3003A,2024-11-06T1200,120.0522,31.7748,12,42,0.3,23,8,96,42,42,—,经开区,常州市
3010A,2024-11-06T1200,119.9025,31.7964,18,28,0.5,14,7,90,57,29,—,钟楼,常州市
3429A,2024-11-06T1200,119.8598,31.7066,16,34,0.3,10,8,91,48,34,—,武进经发区,常州市
3430A,2024-11-06T1200,119.5826,31.7245,19,32,0.3,16,8,92,57,32,—,金坛城区,常州市
2220A,2024-11-06T1200,120.4318,41.5881,18,—,0.5,12,—,51,18,—,—,西梁,朝阳市
2221A,2024-11-06T1200,120.4521,41.5646,23,56,0.6,20,22,42,18,53,颗粒物(PM10),河畔小区,朝阳市
2222A,2024-11-06T1200,120.4176,41.5648,19,42,0.7,13,26,51,18,42,—,八里堡,朝阳市
2223A,2024-11-06T1200,120.3806,41.5969,—,—,—,—,—,—,—,—,—,农业园区,朝阳市
1705A,2024-11-06T1200,116.6367,23.6719,—,—,—,8,13,89,79,—,—,西园路,潮州市
3026A,2024-11-06T1200,116.6183,23.6608,22,48,0.7,9,6,96,73,48,—,市政府,潮州市
4036A,2024-11-06T1200,116.6461,23.6761,27,51,0.7,8,8,94,79,51,颗粒物(PM10),金山,潮州市
2472A,2024-11-06T1200,113.0073,25.9061,29,70,1.0,14,16,111,64,60,颗粒物(PM10),马头岭,郴州市
2473A,2024-11-06T1200,113.0116,25.8226,50,66,0.8,11,13,121,54,69,细颗粒物(PM2.5),市职中,郴州市
2474A,2024-11-06T1200,113.0161,25.8001,51,62,0.8,—,—,119,83,—,—,兴隆步行街,郴州市
2475A,2024-11-06T1200,113.0383,25.8071,49,70,0.7,11,13,124,79,68,细颗粒物(PM2.5),市审计局,郴州市
2476A,2024-11-06T1200,113.0348,25.7759,48,83,0.7,12,19,117,72,67,"颗粒物(PM10),细颗粒物(PM2.5)",市环保局,郴州市
1431A,2024-11-06T1200,103.9728,30.7236,35,66,0.5,28,4,28,19,58,颗粒物(PM10),金泉两河,成都市
1432A,2024-11-06T1200,104.176,30.6872,36,68,0.6,47,3,20,9,59,颗粒物(PM10),十里店,成都市
1433A,2024-11-06T1200,104.079,30.5706,27,58,0.4,31,2,39,22,54,颗粒物(PM10),三瓦窑,成都市
1434A,2024-11-06T1200,104.1114,30.63,42,59,0.5,39,4,32,15,59,细颗粒物(PM2.5),沙河铺,成都市
1437A,2024-11-06T1200,104.0786,30.6531,28,55,0.8,44,8,20,21,53,颗粒物(PM10),君平街,成都市
2880A,2024-11-06T1200,104.0239,30.65639,33,63,0.7,41,4,18,18,57,颗粒物(PM10),大石西路,成都市
3136A,2024-11-06T1200,104.2725,30.5589,27,44,0.6,38,4,22,46,44,—,龙泉驿区区政府,成都市
3357A,2024-11-06T1200,104.0106,30.6931,41,69,0.5,35,3,18,12,60,颗粒物(PM10),金博路,成都市
3359A,2024-11-06T1200,104.0578,30.5225,31,48,0.6,29,2,29,22,48,—,华阳,成都市
3487A,2024-11-06T1200,104.2394,30.5319,40,59,0.8,44,2,19,25,57,细颗粒物(PM2.5),车城东七路,成都市
3488A,2024-11-06T1200,104.3853,30.7453,11,26,0.6,25,4,35,22,26,—,青白江技师分院,成都市
3489A,2024-11-06T1200,104.0789,30.4072,40,54,—,36,4,25,18,—,—,科学城,成都市
4011A,2024-11-06T1200,103.8506,30.6947,34,62,0.5,25,6,39,40,56,颗粒物(PM10),光华大道三段,成都市
1062A,2024-11-06T1200,117.9531,40.9081,—,—,0.3,—,12,33,12,—,—,铁路,承德市
1063A,2024-11-06T1200,117.9392,40.9763,3,15,0.5,21,8,36,13,15,—,中国银行,承德市
1064A,2024-11-06T1200,117.9503,40.928,10,51,0.5,27,9,31,13,51,颗粒物(PM10),开发区,承德市
1065A,2024-11-06T1200,117.8051,40.9655,18,64,1.7,33,41,23,8,57,颗粒物(PM10),文化中心,承德市
1066A,2024-11-06T1200,117.9268,41.0026,7,14,0.4,—,6,34,13,—,—,离宫,承德市
2314A,2024-11-06T1200,117.47,30.6618,23,52,0.5,15,8,105,48,51,颗粒物(PM10),池州学院,池州市
3237A,2024-11-06T1200,117.4918,30.6617,27,50,0.4,14,7,107,46,50,—,展览馆,池州市
3333A,2024-11-06T1200,117.5627,30.695,22,42,0.4,12,6,106,44,42,—,第八中学,池州市
3334A,2024-11-06T1200,117.5038,30.6243,22,52,0.4,13,5,108,52,51,颗粒物(PM10),第十二中学,池州市
1744A,2024-11-06T1200,118.9233,42.2816,27,53,0.7,32,13,38,14,52,颗粒物(PM10),松山一中,赤峰市
1745A,2024-11-06T1200,118.9576,42.2728,25,42,0.6,23,8,43,17,42,—,哈达街,赤峰市
1746A,2024-11-06T1200,118.8788,42.2554,28,49,0.4,24,8,47,16,49,—,天义路,赤峰市
3058A,2024-11-06T1200,119.2658,42.0353,58,113,1.5,27,47,41,19,82,颗粒物(PM10),银河街,赤峰市
3286A,2024-11-06T1200,118.9359,42.3147,17,36,1.0,30,11,38,16,36,—,桥北物流园区,赤峰市
2521A,2024-11-06T1200,107.3476,22.4136,38,52,0.7,5,5,124,56,54,细颗粒物(PM2.5),市环保局江州分局,崇左市
2522A,2024-11-06T1200,107.3702,22.3707,40,53,0.6,7,7,128,54,57,细颗粒物(PM2.5),城南新区,崇左市
2298A,2024-11-06T1200,118.3093,32.3153,19,37,0.3,16,1,85,—,37,—,老年大学,滁州市
2299A,2024-11-06T1200,118.3244,32.2786,21,37,0.4,17,8,87,42,37,—,人大宾馆,滁州市
3207A,2024-11-06T1200,118.3118,32.3038,23,33,0.3,17,7,85,41,33,—,市政府原办公楼,滁州市
3331A,2024-11-06T1200,118.3267,32.2634,18,44,0.4,13,6,87,45,44,—,图书馆,滁州市
2605A,2024-11-06T1200,101.5482,25.0441,—,—,—,17,8,45,16,—,—,州环境监测站,楚雄彝族自治州
2606A,2024-11-06T1200,101.538,25.0492,44,60,0.8,20,8,43,17,62,细颗粒物(PM2.5),市经济开发区,楚雄彝族自治州
2548A,2024-11-06T1200,107.5277,31.2827,29,36,0.7,25,7,12,4,42,—,达州职业技术学院,达州市
2549A,2024-11-06T1200,107.5086,31.2186,22,43,0.5,35,8,12,4,43,—,市环境监测站,达州市
